shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
comm_exp,42.34008,-71.16004,102
comm_exp,42.34012,-71.16059,103
comm_exp,42.34022,-71.16393,104
comm_exp,42.34022,-71.16443,105
comm_exp,42.34016,-71.16541,106
comm_exp,42.3401,-71.16602,107
comm_exp,42.34008,-71.16614,108
comm_exp,42.34,-71.16613,109
comm_exp,42.33991,-71.16612,110
comm_exp,42.33918,-71.166,111
comm_exp,42.33918,-71.16619,112
comm_exp,42.33915,-71.16632,113
comm_exp,42.33882,-71.16718,114
comm_exp,42.33849,-71.16809,115
comm_exp,42.33828,-71.16865,116
comm_exp,42.33812,-71.16883,117
comm_exp,42.33804,-71.16889,118
comm_exp,42.33789,-71.16892,119
comm_exp,42.33777,-71.16891,120
comm_exp,42.33766,-71.16887,121
comm_exp,42.33757,-71.16882,122
comm_exp,42.3375,-71.16874,123
comm_exp,42.33743,-71.16867,124
comm_exp,42.33731,-71.16852,125
comm_exp,42.33634,-71.16816,126
comm_exp,42.33607,-71.16807,127
comm_exp,42.33596,-71.16797,128
comm_exp,42.33589,-71.16781,129
comm_exp,42.33589,-71.16764,130
comm_exp,42.33598,-71.16737,131
comm_all,42.33598,-71.16737,0
comm_all,42.33618,-71.16683,1
comm_all,42.33621,-71.16665,2
comm_all,42.33623,-71.16641,3
comm_all,42.33619,-71.16614,4
comm_all,42.33616,-71.16576,5
comm_all,42.33616,-71.16564,6
comm_all,42.33586,-71.16562,7
comm_all,42.33585,-71.16561,8
comm_all,42.33581,-71.16541,9
comm_all,42.33548,-71.16409,10
comm_all,42.33527,-71.16336,11
comm_all,42.33522,-71.16321,12
comm_all,42.33523,-71.16307,13
comm_all,42.33528,-71.16296,14
comm_all,42.33477,-71.1626,15
comm_all,42.33455,-71.16245,16
comm_all,42.33429,-71.16235,17
comm_all,42.33419,-71.16245,18
comm_all,42.33405,-71.1626,19
comm_all,42.33397,-71.1627,20
comm_all,42.33396,-71.16292,21
comm_all,42.33393,-71.1632,22
comm_all,42.33386,-71.16362,23
comm_all,42.33377,-71.16447,24
comm_all,42.3337,-71.1652,25
comm_all,42.3336,-71.16603,26
comm_all,42.33344,-71.16749,27
comm_all,42.33329,-71.16901,28
comm_all,42.33307,-71.17082,29
comm_all,42.33292,-71.17222,30
comm_all,42.33287,-71.17278,31
comm_all,42.33308,-71.17303,32
comm_all,42.33329,-71.17287,33
comm_all,42.3335,-71.17268,34
comm_all,42.33447,-71.17182,35
comm_all,42.33462,-71.17173,36
comm_all,42.33542,-71.1716,37
comm_all,42.33579,-71.17155,38
comm_all,42.33607,-71.1716,39
comm_all,42.33629,-71.17166,40
comm_all,42.33669,-71.17187,41
comm_all,42.337,-71.17208,42
comm_all,42.33718,-71.17221,43
comm_all,42.33728,-71.17201,44
comm_all,42.33737,-71.17187,45
comm_all,42.33769,-71.17148,46
comm_all,42.33786,-71.1713,47
comm_all,42.33839,-71.17075,48
comm_all,42.33863,-71.17044,49
comm_all,42.33885,-71.17011,50
comm_all,42.33914,-71.16952,51
comm_all,42.33947,-71.16855,52
comm_all,42.33955,-71.16832,53
comm_all,42.33955,-71.16822,54
comm_all,42.33974,-71.16734,55
comm_all,42.33986,-71.16662,56
comm_all,42.33995,-71.1658,57
comm_all,42.34001,-71.16519,58
comm_all,42.34005,-71.16447,59
comm_all,42.34006,-71.16355,60
comm_all,42.34001,-71.16179,61
comm_all,42.33999,-71.16106,62
comm_all,42.33988,-71.16107,63
comm_all,42.33999,-71.16106,64
comm_all,42.33998,-71.16078,65
comm_all,42.33994,-71.16016,66
comm_all,42.33986,-71.15941,67
comm_all,42.33977,-71.15883,68
comm_all,42.33962,-71.15812,69
comm_all,42.33945,-71.15748,70
comm_all,42.33927,-71.15693,71
comm_all,42.33901,-71.15626,72
comm_all,42.33841,-71.15497,73
comm_all,42.33819,-71.1545,74
comm_all,42.33802,-71.15403,75
comm_all,42.33798,-71.15381,76
comm_all,42.33795,-71.15345,77
comm_all,42.33799,-71.15327,78
comm_all,42.33802,-71.15321,79
comm_all,42.33787,-71.15307,80
comm_all,42.33696,-71.15203,81
comm_all,42.33632,-71.15123,82
comm_all,42.33615,-71.15103,83
comm_all,42.33563,-71.1505,84
comm_all,42.33544,-71.15028,85
comm_all,42.33526,-71.15,86
comm_all,42.33495,-71.14945,87
comm_all,42.33481,-71.14916,88
comm_all,42.33495,-71.14945,89
comm_all,42.33526,-71.15,90
comm_all,42.33544,-71.15028,91
comm_all,42.33563,-71.1505,92
comm_all,42.33615,-71.15103,93
comm_all,42.33695,-71.15202,94
comm_all,42.33784,-71.15305,95
comm_all,42.33797,-71.15317,96
comm_all,42.33802,-71.15321,97
comm_all,42.33803,-71.15318,98
comm_all,42.33807,-71.15309,99
comm_all,42.33811,-71.15303,100
comm_all,42.33833,-71.15276,101
comm_all,42.33849,-71.15262,102
comm_all,42.33862,-71.15252,103
comm_all,42.33885,-71.15239,104
comm_all,42.33922,-71.15221,105
comm_all,42.33943,-71.15207,106
comm_all,42.33967,-71.15189,107
comm_all,42.34009,-71.15149,108
comm_all,42.34032,-71.15122,109
comm_all,42.34057,-71.15087,110
comm_all,42.34081,-71.15052,111
comm_all,42.34089,-71.15037,112
comm_all,42.34093,-71.15042,113
comm_all,42.34103,-71.15052,114
comm_all,42.3406,-71.15114,115
comm_all,42.34042,-71.15137,116
comm_all,42.34018,-71.15166,117
comm_all,42.33982,-71.152,118
comm_all,42.33942,-71.1523,119
comm_all,42.33921,-71.15243,120
comm_all,42.3388,-71.15263,121
comm_all,42.33857,-71.15278,122
comm_all,42.33845,-71.15291,123
comm_all,42.33833,-71.15308,124
comm_all,42.3382,-71.15335,125
comm_all,42.33817,-71.15359,126
comm_all,42.33821,-71.15397,127
comm_all,42.3383,-71.1543,128
comm_all,42.33857,-71.15494,129
comm_all,42.33876,-71.15534,130
comm_all,42.33917,-71.15623,131
comm_all,42.33949,-71.15709,132
comm_all,42.33977,-71.15809,133
comm_all,42.33997,-71.15914,134
comm_all,42.34005,-71.15973,135
comm_all,42.34011,-71.16033,136
comm_all,42.34021,-71.16341,137
comm_all,42.34022,-71.16414,138
comm_all,42.34021,-71.16472,139
comm_all,42.34013,-71.16572,140
comm_all,42.3401,-71.16602,141
comm_all,42.34008,-71.16614,142
comm_all,42.34,-71.16613,143
comm_all,42.33991,-71.16612,144
comm_all,42.33966,-71.16608,145
comm_all,42.33918,-71.166,146
comm_all,42.33919,-71.16607,147
comm_all,42.33915,-71.16632,148
comm_all,42.33878,-71.16728,149
comm_all,42.33834,-71.1685,150
comm_all,42.33828,-71.16865,151
